document_id,url,file,titulo,rango,materia,no_norma,no_gaceta,fecha_publicacion,tipo_norma,candidate,total_matches,unique_terms,direct_es_matches,economic_instruments_matches,tier_1_matches,tier_2_matches,matched_terms,matched_categories,matched_subcategories,matched_tiers
4D09D6FFDE78A434062572C80055FA74,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=4D09D6FFDE78A434062572C80055FA74&action=openDocument,data\legislation\html\4D09D6FFDE78A434062572C80055FA74.html,Código de Defensa y Protección de los Animales,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,688,3,07/01/1941,Decreto,False,0,0,0,0,0,0,,,,
5AEB91273584B3E9062572C8006ED792,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=5AEB91273584B3E9062572C8006ED792&action=openDocument,data\legislation\html\5AEB91273584B3E9062572C8006ED792.html,(SUPRIMASE EL INCISO FINAL DEL ARTÍCULO 3 DEL DECRETO N°. 7 DEL 17 DE JUNIO DE 1940),Decretos Legislativos,Medio Ambiente y Recursos Naturales,133,143,07/07/1941,Decreto,False,0,0,0,0,0,0,,,,
070DC98923BFC149062572A00076AA8C,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=070DC98923BFC149062572A00076AA8C&action=openDocument,data\legislation\html\070DC98923BFC149062572A00076AA8C.html,(REFORMA AL DECRETO DE LA CAMPAÑA POR EL CHAPULIN),Decretos Legislativos,Medio Ambiente y Recursos Naturales,190,165,06/08/1942,Decreto,False,0,0,0,0,0,0,,,,
812CDE79E327090E062572A0007895D1,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=812CDE79E327090E062572A0007895D1&action=openDocument,data\legislation\html\812CDE79E327090E062572A0007895D1.html,"Declárase el Hule o Caucho, Material de Primera Necesidad",Decretos Legislativos,Medio Ambiente y Recursos Naturales,227,194,10/09/1942,Decreto,False,0,0,0,0,0,0,,,,
0F842AC1474C77D5062572C100684FFD,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=0F842AC1474C77D5062572C100684FFD&action=openDocument,data\legislation\html\0F842AC1474C77D5062572C100684FFD.html,(Anéxase al Ministerio de Agricultura y Trabajo lo Referente a la Conservación de Bosques),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,63,24/03/1943,Decreto,False,0,0,0,0,0,0,,,,
4C7E0EDE115CC16206258E600071DBAB,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=4C7E0EDE115CC16206258E600071DBAB&action=openDocument,data\legislation\html\4C7E0EDE115CC16206258E600071DBAB.html,"(Apruébase la Convención para la Protección de la Flora, de la Fauna, y de las Bellezas Escénicas Naturales)",Decretos Legislativos,Medio Ambiente y Recursos Naturales,122,107,22/05/1946,Decreto,False,0,0,0,0,0,0,,,,
7B188EB31428BC640625728F00584522,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=7B188EB31428BC640625728F00584522&action=openDocument,data\legislation\html\7B188EB31428BC640625728F00584522.html,(Ley Sobre Derechos Forestales que Deberán Pagarse al Estado),Leyes,Medio Ambiente y Recursos Naturales,105,250,15/11/1948,Ley,False,0,0,0,0,0,0,,,,
28B93958B0D59CBD062572CA0052377F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=28B93958B0D59CBD062572CA0052377F&action=openDocument,data\legislation\html\28B93958B0D59CBD062572CA0052377F.html,(Créase el Departamento Forestal),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,128,23,31/01/1949,Decreto,False,0,0,0,0,0,0,,,,
F779F8B0464A790D0625727D0054B143,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=F779F8B0464A790D0625727D0054B143&action=openDocument,data\legislation\html\F779F8B0464A790D0625727D0054B143.html,Reformas y Adiciones al Código de Defensa y Protección de los Animales,Decretos Legislativos,Medio Ambiente y Recursos Naturales,152,26,07/02/1950,Decreto,False,0,0,0,0,0,0,,,,
0E0131C4B055B85106257424005C8031,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=0E0131C4B055B85106257424005C8031&action=openDocument,data\legislation\html\0E0131C4B055B85106257424005C8031.html,(Reglamento al Decreto No. 35 Sobre Vacunación de Ganado de Exportación),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,4,44,28/02/1951,Decreto,False,0,0,0,0,0,0,,,,
E3608165EE890993062572AA006262AE,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=E3608165EE890993062572AA006262AE&action=openDocument,data\legislation\html\E3608165EE890993062572AA006262AE.html,(Decreto Sobre la Siembra del Algodón),Decretos Legislativos,Medio Ambiente y Recursos Naturales,8,177,24/08/1951,Decreto,False,0,0,0,0,0,0,,,,
